case_id,court,judge,case_type,year,complexity,legal_domain,outcome,plaintiff_win_probability,description
CASE_2022_0102,Delhi High Court,Justice N. Gupta,Arbitration Matter,2022,5,Corporate Law,allowed,0.589,Arbitration award enforcement and challenge proceedings filed in 2022.
CASE_2022_0106,Karnataka High Court,Justice R. Patel,Shareholder Dispute,2018,8,Competition Law,settlement,0.474,Shareholder rights and corporate governance dispute filed in 2018.
CASE_2016_0110,Calcutta High Court,Justice M. Singh,Insolvency Proceedings,2018,5,Insolvency,dismissed,0.529,Corporate insolvency resolution process under IBC filed in 2018.
CASE_2018_0113,Delhi High Court,Justice B. Nair,Patent Dispute,2020,6,Intellectual Property,allowed,0.8,Patent validity and infringement dispute in technology sector filed in 2020.
CASE_2023_0115,Madhya Pradesh High Court,Justice V. Reddy,Trademark Infringement,2018,6,Insolvency,allowed,0.504,Trademark infringement case involving brand protection and market confusion filed in 2018.
CASE_2015_0119,Calcutta High Court,Justice H. Kapoor,Shareholder Dispute,2016,5,Intellectual Property,allowed,0.644,Shareholder rights and corporate governance dispute filed in 2016.
CASE_2016_0120,Madhya Pradesh High Court,Justice L. Desai,Joint Venture Dispute,2015,6,Corporate Law,allowed,0.501,Joint venture agreement breach and profit distribution dispute filed in 2015.
CASE_2024_0122,Madras High Court,Justice C. Joshi,Intellectual Property,2021,5,Banking Law,settlement,0.568,Comprehensive IP rights protection and licensing dispute filed in 2021.
CASE_2017_0125,Rajasthan High Court,Justice S. Sharma,Copyright Violation,2015,5,Securities Law,allowed,0.501,Copyright infringement matter concerning unauthorized reproduction filed in 2015.
CASE_2023_0128,Madras High Court,Justice L. Desai,Copyright Violation,2019,5,Corporate Law,allowed,0.567,Copyright infringement matter concerning unauthorized reproduction filed in 2019.
CASE_2017_0129,Calcutta High Court,Justice T. Iyer,Licensing Agreement,2024,6,Insolvency,allowed,0.605,Technology licensing and royalty payment dispute filed in 2024.
CASE_2024_0131,Supreme Court of India,Justice N. Gupta,Licensing Agreement,2020,3,Insolvency,allowed,0.8,Technology licensing and royalty payment dispute filed in 2020.
CASE_2018_0132,Madhya Pradesh High Court,Justice T. Iyer,Breach of Contract,2019,6,Contract Law,allowed,0.784,Commercial contract dispute regarding non-performance of obligations filed in 2019.
CASE_2017_0133,Allahabad High Court,Justice D. Verma,Joint Venture Dispute,2022,6,Insolvency,allowed,0.552,Joint venture agreement breach and profit distribution dispute filed in 2022.
CASE_2022_0136,Calcutta High Court,Justice L. Desai,Insolvency Proceedings,2023,3,Contract Law,dismissed,0.433,Corporate insolvency resolution process under IBC filed in 2023.
CASE_2020_0137,Calcutta High Court,Justice P. Mehta,Trademark Infringement,2021,3,Contract Law,dismissed,0.623,Trademark infringement case involving brand protection and market confusion filed in 2021.
CASE_2016_0142,Madras High Court,Justice H. Kapoor,Trademark Infringement,2022,6,Intellectual Property,allowed,0.8,Trademark infringement case involving brand protection and market confusion filed in 2022.
CASE_2017_0143,Allahabad High Court,Justice B. Nair,Partnership Dispute,2023,5,Insolvency,allowed,0.477,Partnership dissolution and profit-sharing dispute filed in 2023.
CASE_2021_0146,Karnataka High Court,Justice C. Joshi,Intellectual Property,2019,3,Contract Law,allowed,0.737,Comprehensive IP rights protection and licensing dispute filed in 2019.
CASE_2022_0148,Karnataka High Court,Justice P. Mehta,Intellectual Property,2023,5,Securities Law,allowed,0.539,Comprehensive IP rights protection and licensing dispute filed in 2023.
CASE_2020_0149,Madras High Court,Justice B. Nair,Patent Dispute,2024,5,Securities Law,allowed,0.8,Patent validity and infringement dispute in technology sector filed in 2024.
CASE_2022_0152,Delhi High Court,Justice D. Verma,Shareholder Dispute,2015,7,Corporate Law,allowed,0.765,Shareholder rights and corporate governance dispute filed in 2015.
CASE_2017_0153,Delhi High Court,Justice K. Rao,Supply Chain Dispute,2019,6,Competition Law,dismissed,0.51,Supply chain contract breach and delivery obligations dispute filed in 2019.
CASE_2021_0154,Delhi High Court,Justice H. Kapoor,Arbitration Matter,2023,5,Securities Law,dismissed,0.586,Arbitration award enforcement and challenge proceedings filed in 2023.
CASE_2022_0155,Rajasthan High Court,Justice A. Kumar,Commercial Fraud,2016,7,Arbitration,dismissed,0.54,Commercial fraud and misrepresentation case filed in 2016.
CASE_2015_0158,Calcutta High Court,Justice P. Mehta,Arbitration Matter,2021,5,Corporate Law,allowed,0.557,Arbitration award enforcement and challenge proceedings filed in 2021.
CASE_2021_0159,Madhya Pradesh High Court,Justice L. Desai,Supply Chain Dispute,2017,8,Corporate Law,allowed,0.351,Supply chain contract breach and delivery obligations dispute filed in 2017.
CASE_2017_0161,Madras High Court,Justice K. Rao,Joint Venture Dispute,2019,7,Banking Law,allowed,0.438,Joint venture agreement breach and profit distribution dispute filed in 2019.
CASE_2024_0165,Karnataka High Court,Justice T. Iyer,Partnership Dispute,2019,4,Contract Law,dismissed,0.605,Partnership dissolution and profit-sharing dispute filed in 2019.
CASE_2019_0167,Madras High Court,Justice T. Iyer,Supply Chain Dispute,2020,8,Arbitration,dismissed,0.271,Supply chain contract breach and delivery obligations dispute filed in 2020.
CASE_2022_0172,Calcutta High Court,Justice B. Nair,Merger & Acquisition Dispute,2020,7,Intellectual Property,allowed,0.643,M&A transaction dispute regarding representations and warranties filed in 2020.
CASE_2018_0182,Karnataka High Court,Justice S. Sharma,Joint Venture Dispute,2020,5,Competition Law,allowed,0.629,Joint venture agreement breach and profit distribution dispute filed in 2020.
CASE_2018_0186,Karnataka High Court,Justice C. Joshi,Copyright Violation,2024,4,Contract Law,allowed,0.8,Copyright infringement matter concerning unauthorized reproduction filed in 2024.
CASE_2022_0193,Allahabad High Court,Justice S. Sharma,Trademark Infringement,2020,6,Corporate Law,allowed,0.526,Trademark infringement case involving brand protection and market confusion filed in 2020.
CASE_2016_0198,Karnataka High Court,Justice N. Gupta,Arbitration Matter,2019,5,Competition Law,dismissed,0.577,Arbitration award enforcement and challenge proceedings filed in 2019.
CASE_2022_0199,Delhi High Court,Justice S. Sharma,Merger & Acquisition Dispute,2016,8,Intellectual Property,dismissed,0.365,M&A transaction dispute regarding representations and warranties filed in 2016.
CASE_2020_0200,Bombay High Court,Justice D. Verma,Breach of Contract,2024,7,Competition Law,dismissed,0.596,Commercial contract dispute regarding non-performance of obligations filed in 2024.
CASE_2019_0204,Madhya Pradesh High Court,Justice M. Singh,Supply Chain Dispute,2021,5,Contract Law,allowed,0.635,Supply chain contract breach and delivery obligations dispute filed in 2021.
CASE_2015_0207,Delhi High Court,Justice B. Nair,Intellectual Property,2018,5,Securities Law,allowed,0.519,Comprehensive IP rights protection and licensing dispute filed in 2018.
CASE_2020_0208,Bombay High Court,Justice P. Mehta,Partnership Dispute,2020,6,Intellectual Property,dismissed,0.678,Partnership dissolution and profit-sharing dispute filed in 2020.
CASE_2021_0210,Allahabad High Court,Justice T. Iyer,Shareholder Dispute,2021,5,Insolvency,allowed,0.414,Shareholder rights and corporate governance dispute filed in 2021.
CASE_2019_0223,Madras High Court,Justice R. Patel,Commercial Fraud,2017,7,Intellectual Property,allowed,0.8,Commercial fraud and misrepresentation case filed in 2017.
CASE_2020_0231,Delhi High Court,Justice D. Verma,Joint Venture Dispute,2017,5,Contract Law,allowed,0.541,Joint venture agreement breach and profit distribution dispute filed in 2017.
CASE_2020_0234,Delhi High Court,Justice P. Mehta,Trademark Infringement,2023,5,Securities Law,allowed,0.697,Trademark infringement case involving brand protection and market confusion filed in 2023.
CASE_2018_0243,Allahabad High Court,Justice T. Iyer,Partnership Dispute,2022,4,Arbitration,allowed,0.599,Partnership dissolution and profit-sharing dispute filed in 2022.
CASE_2024_0246,Bombay High Court,Justice H. Kapoor,Partnership Dispute,2015,5,Banking Law,settlement,0.57,Partnership dissolution and profit-sharing dispute filed in 2015.
,Kerala High Court,,,,,,allowed,,<b>breach</b> of <b>contract</b>. Therefore <b>breach</b> of <b>contract</b> is the basis for a suit for specific performance as well as a suit for <b>damages</b>; although ... account of <b>breach</b> of <b>contract</b> the <b>damages</b> are granted for the non-performance of the <b>contract</b>. A claim for <b>damages</b> in addition to or substitution 
,Madhya Pradesh High Court,,,,,,dismissed,,"admitted that the <b>disputed</b> <b>properties</b> are their ancestral
<b>properties</b>. They have denied the averrments that in 1971 a
<b>partition</b> of <b>properties</b> took place in life ... proof of <b>partition</b> lies upon the plaintiff.
  Plaintiff Smt. Sulakshana (PW-1) deposed about oral <b>partition</b>
of the <b>disputed</b> <b>property</b> in the year "
,Allahabad High Court,,,,,,dismissed,,"owners in possession of the <b>disputed</b> house.
  
 16. It was specifically denied that the <b>disputed</b> <b>property</b>, was the  <b>property</b> of the joint Hindu family ... <b>disputed</b> house was the <b>property</b> of the joint Hindu family. The plaintiff also failed to prove that regarding the <b>disputed</b> <b>property</b>, a <b>partition</b> took place "
,Madras High Court,,,,,,dismissed,,"contention. In the said case, the petition filed for <b>divorce</b> on the twin <b>grounds</b> of <b>cruelty</b> and desertion was dismissed only on the ground ... relating to desertion, the consideration about delay in filing <b>divorce</b> petition on the <b>grounds</b> of <b>cruelty</b> and adultery is not applicable.  After relying upon "
,Delhi High Court,,,,,,allowed,,"parte interim <b>injunction</b> granted on 12.8.1999 are being disposed of.
  

 2. Plaintiffs has filed a suit for <b>injunction</b> against <b>infringement</b> of <b>trademark</b>, <b>infringement</b> of copyright ... suit for permanent <b>injunction</b> restraining <b>infringement</b> of <b>Trademark</b>, <b>infringement</b> of copyright, passing off......&quot; Suit for <b>infringement</b> of <b>trademark</b> will lie under  Section "
,Supreme Court of India,,,,,,allowed,,"Scope	of right of <b>appeal</b> by the  accused-Scope  of
interference by <b>Supreme</b> <b>Court</b> in such <b>appeals</b>.
     Criminal  Trial-<b>Murder</b>-Motive-When	 motive	 is  equally ... <b>murder</b>.	 The Sessions  Judge
acquitted  both	 the  appellants.  The	State  preferred  an
<b>appeal</b>	before the High <b>Court</b>.	The High <b>Court</b>	allowed	 the
<b>appeal</b>,	 set  aside "
,Supreme Court of India,,,,,,dismissed,,"<b>Supreme</b>  <b>Court</b>   (Enlargement  of	 Criminal  Appellate
Jurisdiction) Act, 1970-S.2(a)-Scope-<b>Supreme</b> <b>Court</b>, if could
summarily dismiss an <b>appeal</b> under section ... <b>appeal</b>  by  the  State,  the	 High  <b>Court</b>  convicted	 and
sentenced them.	  In  their <b>appeal</b> under section 2(a) of the
<b>Supreme</b>	  <b>Court</b>	   (Enlargement	  of	Criminal "
,Madhya Pradesh High Court,,,,,,dismissed,,"sentence. The High <b>Court</b> commuted the sentence to
      one of life imprisonment. The <b>Supreme</b> <b>Court</b> in
      <b>appeal</b> noting the brutality of <b>murder</b> held that ... accused earlier had
committed the <b>murder</b>. He was convicted and awarded life
sentence by the trial <b>court</b>. On <b>appeal</b>, sentence of the accused
was suspended "
,Kerala High Court,,,,,,dismissed,,"Police and acted upon by the <b>Court</b> against her. The appellant, who was also convicted, <b>appealed</b> to the <b>Supreme</b> <b>Court</b> of Jamaica and urged that ... give evidence and both were found guilty of <b>murder</b>. Daniel Youth alone <b>appealed</b> to the <b>Supreme</b> <b>Court</b> of Jamaica, his contention being that the statement "
,Supreme Court of India,,,,,,dismissed,,"Justice-When a	life convict <b>appeals</b>
that he	 was convicted	for a  <b>murder</b> that  never  was,	 the
<b>Supreme</b> <b>Court</b> can reconsider the question seriously ... illegal. The  High <b>Court</b>  dismissed the	 petition. Hence the
<b>appeal</b> by Special Leave of the <b>Court</b>.
     Dismissing the <b>appeal</b>, the <b>Court</b>,
^
     HELD; 1:1. When "
,Allahabad High Court,,,,,,allowed,,"aside and suit filed by appellant for <b>divorce</b> on <b>grounds</b> of <b>cruelty</b> and desertion is liable to be decreed by this Court.
  
 11. Before proceeding ... scheme of Act, 1955, <b>grounds</b> of <b>divorce</b> mentioned in  Section 13  are independent <b>grounds</b>. Fulfilment of one of the <b>grounds</b> mentioned in  Section "
,Supreme Court of India,,,,,,allowed,,"SCALE  (2)1246


ACT:
     Plea for  <b>divorce</b> by  husband on <b>grounds</b> of <b>cruelty</b> and
desertion by wife.



HEADNOTE:
%
     The appellant  and the  respondent, husband ... therefore, filed  a petition for a decree
of <b>divorce</b>  on the  <b>grounds</b> of	<b>cruelty</b> and  desertion.	 The
trial  Court   granted	the   <b>divorce</b>.	On   appeal "
,Allahabad High Court,,,,,,dismissed,,"dismissed marriage petition filed by plaintiff-appellant for <b>divorce</b> on the <b>grounds</b> of <b>cruelty</b>, adultery and desertion.
  
 2.	According to plaint allegations, marriage of plaintiff ... filed by plaintiff-appellant for decree of <b>divorce</b> on <b>grounds</b> of <b>cruelty</b>, adultery and desertion. Apart from factual pleas in respect of aforesaid <b>grounds</b> "
,Madras High Court,,,,,,allowed,,"matrimonial house, the Respondent filed the Petition for <b>divorce</b> on the <b>grounds</b> of  <b>cruelty</b> and desertion.
 
 	3. The Appellant resisted the Petition by filing counter ... were no justifiable <b>grounds</b> for leaving the matrimonial house and the trial Court rightly granted <b>divorce</b> on the <b>grounds</b> of <b>cruelty</b> and desertion.
 
 	9. Upon "
,Punjab-Haryana High Court,,,,,,allowed,,"dissolution of marriage between the parties by decree of <b>divorce</b> on the

<b>grounds</b> of <b>cruelty</b> and desertion, has been allowed.
 
             Brief facts of the case ... petitioner is entitled for grant of decree of
       <b>divorce</b> on the <b>grounds</b> of <b>cruelty</b> and desertion as alleged in
       the petition?OPP

         2.     Relief "
,Chattisgarh High Court,,,,,,dismissed,,"Family Court for grant of a decree of <b>divorce</b> on the <b>grounds</b> of

<b>cruelty</b> and desertion.
                                    4  



  4.   The Respondent, leaving the admitted facts ... dismissed.
 
 

  9.    The Appellant has sought a decree of <b>divorce</b> on the <b>grounds</b> of (i)

      <b>cruelty</b> and (ii) desertion.
 
 

  10.   As far as the ground "
,Union of India - Section,,,,,,dismissed,,"order under this sub-Section or has rejected the <b>application</b> for grant of <b>anticipatory</b> <b>bail</b>, it shall be open to an officer incharge ... order under this sub-section or has rejected the <b>application</b> for grant of <b>anticipatory</b> <b>bail</b>, it shall be open to an officer-in-charge "
,Allahabad High Court,,,,,,allowed,,"Order on Criminal Misc. Exemption <b>Application</b>
 
This exemption <b>application</b> is allowed.
  
 4) Order on Criminal Misc. <b>Anticipatory</b> <b>Bail</b> <b>Application</b>
 
The instant <b>anticipatory</b> <b>bail</b> <b>application</b> ... <b>anticipatory</b> <b>bail</b> cannot be granted.
  

 
  9) This Court in the case of  Adil Vs. State of U.P.  passed in Criminal Misc.   <b>Anticipatory</b> <b>Bail</b> <b>Application</b> "
,Orissa High Court,,,,,,dismissed,,"case, set aside the impugned order and held that, if an <b>anticipatory</b> <b>bail</b>

<b>application</b> has been rejected, there could not have been any further direction ... <b>anticipatory</b> <b>bail</b> or

regular <b>bail</b>.
 
 
  12.             Coming to the question of passing of order of interim protection at

the threshold in an <b>anticipatory</b> <b>bail</b> <b>application</b> "
,Rajasthan High Court - Jaipur,,,,,,dismissed,,"Judge, after rejection of three previous <b>bail</b> applications under  Section 438  Cr.P.C. granted 4th <b>anticipatory</b> <b>bail</b> <b>application</b> on the ground that the petitioner ... <b>application</b> for <b>anticipatory</b> <b>bail</b> was not barred. 
  

 (vii) In Islam Mohammed v. State of Raj., 1994 RCC 207, second <b>anticipatory</b> <b>bail</b> <b>application</b> moved "
,Rajasthan High Court - Jaipur,,,,,,dismissed,,"<b>bail</b> <b>application</b> if there is a substantial change in factual situation between the earlier <b>bail</b> <b>application</b> and the subsequent one, but successive <b>bail</b> <b>application</b> ... that the High Court once rejected the <b>anticipatory</b> <b>bail</b> by a well-reasoned order, allowed second <b>bail</b> <b>application</b> under  Section 438 , Cr.P.C. made "
,Calcutta High Court (Appellete Side),,,,,,dismissed,,"<b>bail</b> is to apply to the superior Court for regular <b>bail</b> and not once again
for <b>anticipatory</b> <b>bail</b>.
  (b)Accused who prefers an <b>application</b> ... <b>anticipatory</b> <b>bail</b>.
  (e) If the <b>application</b> for regular <b>bail</b> is moved after or the date as on which
the <b>application</b> for regular <b>bail</b> is rejected "
